subject,scenario,gesture_sequence,gesture_type,gesture_name,start_frame,end_frame,num_frames,duration_seconds,fps,video_length_frames
subject_1,scenario_i_s,gesture_1,1,Swipe Left,12,25,14,0.7,20.0,405
subject_1,scenario_i_s,gesture_1,1,Swipe Left,63,75,13,0.65,20.0,405
subject_1,scenario_i_s,gesture_1,1,Swipe Left,105,121,17,0.85,20.0,405
subject_1,scenario_i_s,gesture_1,1,Swipe Left,149,168,20,1.0,20.0,405
subject_1,scenario_i_s,gesture_1,1,Swipe Left,200,216,17,0.85,20.0,405
subject_1,scenario_i_s,gesture_1,1,Swipe Left,246,260,15,0.75,20.0,405
subject_1,scenario_i_s,gesture_1,1,Swipe Left,290,304,15,0.75,20.0,405
subject_1,scenario_i_s,gesture_1,1,Swipe Left,331,349,19,0.95,20.0,405
subject_1,scenario_i_s,gesture_1,1,Swipe Left,376,388,13,0.65,20.0,405
subject_1,scenario_i_s,gesture_10,10,Rotate CCW,11,31,21,1.05,20.0,405
subject_1,scenario_i_s,gesture_10,10,Rotate CCW,46,62,17,0.85,20.0,405
subject_1,scenario_i_s,gesture_10,10,Rotate CCW,75,89,15,0.75,20.0,405
subject_1,scenario_i_s,gesture_10,10,Rotate CCW,101,116,16,0.8,20.0,405
subject_1,scenario_i_s,gesture_10,10,Rotate CCW,132,144,13,0.65,20.0,405
subject_1,scenario_i_s,gesture_10,10,Rotate CCW,160,173,14,0.7,20.0,405
subject_1,scenario_i_s,gesture_10,10,Rotate CCW,220,234,15,0.75,20.0,405
subject_1,scenario_i_s,gesture_10,10,Rotate CCW,250,262,13,0.65,20.0,405
subject_1,scenario_i_s,gesture_10,10,Rotate CCW,279,295,17,0.85,20.0,405
subject_1,scenario_i_s,gesture_10,10,Rotate CCW,310,326,17,0.85,20.0,405
subject_1,scenario_i_s,gesture_10,10,Rotate CCW,345,357,13,0.65,20.0,405
subject_1,scenario_i_s,gesture_10,10,Rotate CCW,372,385,14,0.7,20.0,405
subject_1,scenario_i_s,gesture_10,10,Rotate CCW,397,405,9,0.45,20.0,405
subject_1,scenario_i_s,gesture_11,11,Screenshot,15,26,12,0.6,20.0,405
subject_1,scenario_i_s,gesture_11,11,Screenshot,47,59,13,0.65,20.0,405
subject_1,scenario_i_s,gesture_11,11,Screenshot,79,92,14,0.7,20.0,405
subject_1,scenario_i_s,gesture_11,11,Screenshot,110,123,14,0.7,20.0,405
subject_1,scenario_i_s,gesture_11,11,Screenshot,143,153,11,0.55,20.0,405
subject_1,scenario_i_s,gesture_11,11,Screenshot,174,185,12,0.6,20.0,405
subject_1,scenario_i_s,gesture_11,11,Screenshot,209,223,15,0.75,20.0,405
subject_1,scenario_i_s,gesture_11,11,Screenshot,239,249,11,0.55,20.0,405
subject_1,scenario_i_s,gesture_11,11,Screenshot,270,280,11,0.55,20.0,405
subject_1,scenario_i_s,gesture_11,11,Screenshot,306,317,12,0.6,20.0,405
subject_1,scenario_i_s,gesture_11,11,Screenshot,339,351,13,0.65,20.0,405
